index,exchange,symbol,conversion type(1× 2÷ 0 noConversion),conversionIndex,weight,tier value,priceMultiple,emaLagMs,uniqueExchangeAlias,chainId,tokenAddress,poolAddress,baseTokenAddress,quoteTokenAddress,subscribeName,sharesMultiplierSource,sharesMultiplierToken,sharesMultiplierBenchmark,conversionCheck
APT-TRY,OKX,APT/TRY,0,,0.4,4,1,0,,,,,,,,,,,TRUE
AR-EUR,Bybit,AR/USDT,1,USDT-EUR,1.0,3,1,0,,,,,,,,,,,TRUE
AR-USD,Gate,AR/USDT,1,USDT-USD,0.167,2,1,0,,,,,,,,,,,TRUE
AR-USD,Binance,AR/USDT,1,USDT-USD,0.333,4,1,0,,,,,,,,,,,TRUE
AR-USD,OKX,AR/USDT,1,USDT-USD,0.333,4,1,0,,,,,,,,,,,TRUE
AR-USD,Kucoin,AR/USDT,1,USDT-USD,0.167,2,1,0,,,,,,,,,,,TRUE
ARB-EUR,Kraken,ARB/EUR,0,,0.231,3,1,0,,,,,,,,,,,TRUE
ARB-EUR,Binance,ARB/EUR,0,,0.308,4,1,0,,,,,,,,,,,TRUE
ARB-EUR,OKX,ARB/EUR,0,,0.308,4,1,0,,,,,,,,,,,TRUE
ARB-EUR,Bitvavo,ARB/EUR,0,,0.154,2,1,0,,,,,,,,,,,TRUE
ARB-TRY,Binance,ARB/TRY,0,,0.667,4,1,0,,,,,,,,,,,TRUE
ARB-TRY,BTCTurk,ARB/TRY,0,,0.333,2,1,0,,,,,,,,,,,TRUE
ARG-EUR,Gate,ARG/USDT,1,USDT-EUR,0.333,2,1,0,,,,,,,,,,,TRUE
ARG-EUR,OKX,ARG/USDT,1,USDT-EUR,0.667,4,1,0,,,,,,,,,,,TRUE
ARG-USD,OKX,ARG/USDT,1,USDT-USD,0.667,4,1,0,,,,,,,,,,,TRUE
ARG-USD,Gate,ARG/USDT,1,USDT-USD,0.333,2,1,0,,,,,,,,,,,TRUE
ARG-USDC,Gate,ARG/USDT,2,USDC-USDT,0.333,2,1,0,,,,,,,,,,,TRUE
ARG-USDC,OKX,ARG/USDT,2,USDC-USDT,0.667,4,1,0,,,,,,,,,,,TRUE
ARG-USDT,OKX,ARG/USDT,0,,0.667,4,1,0,,,,,,,,,,,TRUE
ARG-USDT,Gate,ARG/USDT,0,,0.333,2,1,0,,,,,,,,,,,TRUE
ARKM-EUR,Binance,ARKM/USDT,1,USDT-EUR,0.308,4,1,0,,,,,,,,,,,TRUE
ARKM-EUR,OKX,ARKM/USDT,1,USDT-EUR,0.308,4,1,0,,,,,,,,,,,TRUE
ARKM-EUR,Gate,ARKM/USDT,1,USDT-EUR,0.154,2,1,0,,,,,,,,,,,TRUE
ARKM-EUR,Bybit,ARKM/USDT,1,USDT-EUR,0.231,3,1,0,,,,,,,,,,,TRUE
ARKM-TRY,Binance,ARKM/TRY,0,,0.667,4,1,0,,,,,,,,,,,TRUE
ARKM-TRY,BTCTurk,ARKM/TRY,0,,0.333,2,1,0,,,,,,,,,,,TRUE
ASP-USDT,OKX,ASP/USDT,0,,0.667,4,1,0,,,,,,,,,,,TRUE
ASP-USDT,BingX,ASP/USDT,0,,0.333,2,1,0,,,,,,,,,,,TRUE
ASTER-TRY,OKX,ASTER/TRY,0,,0.5,4,1,0,,,,,,,,,,,TRUE
ASTER-TRY,Binance,ASTER/TRY,0,,0.5,4,1,0,,,,,,,,,,,TRUE
AT-USDT,Bitmart,AT/USDT,0,,0.25,2,1,0,,,,,,,,,,,TRUE
AT-USDT,Binance_LINEAR_PERPETUAL,AT/USDT,0,,0.25,2,1,0,,,,,,,,,,,TRUE
AT-USDT,Gate,AT/USDT,0,,0.25,2,1,0,,,,,,,,,,,TRUE
AT-USDT,Mxc,AT/USDT,0,,0.25,2,1,0,,,,,,,,,,,TRUE
ATOM-EUR,Kraken,ATOM/EUR,0,,0.188,3,1,0,,,,,,,,,,,TRUE
ATOM-EUR,Bitvavo,ATOM/EUR,0,,0.125,2,1,0,,,,,,,,,,,TRUE
ATOM-EUR,Binance,ATOM/EUR,0,,0.25,4,1,0,,,,,,,,,,,TRUE
ATOM-EUR,Coinbase,ATOM/EUR,0,,0.188,3,1,0,,,,,,,,,,,TRUE
ATOM-EUR,OKX,ATOM/EUR,0,,0.25,4,1,0,,,,,,,,,,,TRUE
AUCTION-EUR,Mxc,AUCTION/USDT,1,USDT-EUR,1.0,2,1,0,,,,,,,,,,,TRUE
AUCTION-USDC,OKX,AUCTION/USDT,2,USDC-USDT,0.333,4,1,0,,,,,,,,,,,TRUE
AUCTION-USDC,Binance,AUCTION/USDT,2,USDC-USDT,0.333,4,1,0,,,,,,,,,,,TRUE
AUCTION-USDC,Bitget,AUCTION/USDT,2,USDC-USDT,0.167,2,1,0,,,,,,,,,,,TRUE
AUCTION-USDC,Mxc,AUCTION/USDT,2,USDC-USDT,0.167,2,1,0,,,,,,,,,,,TRUE
AUCTION-USDT,Binance,AUCTION/USDT,0,,0.333,4,1,0,,,,,,,,,,,TRUE
AUCTION-USDT,OKX,AUCTION/USDT,0,,0.333,4,1,0,,,,,,,,,,,TRUE
AUCTION-USDT,Mxc,AUCTION/USDT,0,,0.167,2,1,0,,,,,,,,,,,TRUE
AUCTION-USDT,Bitget,AUCTION/USDT,0,,0.167,2,1,0,,,,,,,,,,,TRUE
AVAX-EUR,Binance,AVAX/EUR,0,,0.25,4,1,0,,,,,,,,,,,TRUE
AVAX-EUR,Bitstamp,AVAX/EUR,0,,0.125,2,1,0,,,,,,,,,,,TRUE
AVAX-EUR,Kraken,AVAX/EUR,0,,0.187,3,1,0,,,,,,,,,,,TRUE
AVAX-EUR,Coinbase,AVAX/EUR,0,,0.187,3,1,0,,,,,,,,,,,TRUE
AVAX-EUR,OKX,AVAX/EUR,0,,0.25,4,1,0,,,,,,,,,,,TRUE
AVAX-TRY,Binance,AVAX/TRY,0,,0.4,4,1,0,,,,,,,,,,,TRUE
AVAX-TRY,OKX,AVAX/TRY,0,,0.4,4,1,0,,,,,,,,,,,TRUE
AVAX-TRY,BTCTurk,AVAX/TRY,0,,0.2,2,1,0,,,,,,,,,,,TRUE
AXS-EUR,Bitvavo,AXS/EUR,0,,1.0,2,1,0,,,,,,,,,,,TRUE
AXS-USD,Coinbase,AXS/USD,0,,0.2,3,1,0,,,,,,,,,,,TRUE
AXS-USD,OKX,AXS/USDT,1,USDT-USD,0.267,4,1,0,,,,,,,,,,,TRUE
AXS-USD,Kucoin,AXS/USDT,1,USDT-USD,0.133,2,1,0,,,,,,,,,,,TRUE
AXS-USD,Gate,AXS/USDT,1,USDT-USD,0.133,2,1,0,,,,,,,,,,,TRUE
AXS-USD,Binance,AXS/USDT,1,USDT-USD,0.267,4,1,0,,,,,,,,,,,TRUE
AZTEC-USDT,Kucoin,AZTEC/USDT,0,,0.333,2,1,0,,,,,,,,,,,TRUE
AZTEC-USDT,Mxc,AZTEC/USDT,0,,0.333,2,1,0,,,,,,,,,,,TRUE
AZTEC-USDT,Gate,AZTEC/USDT,0,,0.333,2,1,0,,,,,,,,,,,TRUE
BABY-EUR,Bitget,BABY/USDT,1,USDT-EUR,0.167,2,1,0,,,,,,,,,,,TRUE
BABY-EUR,Gate,BABY/USDT,1,USDT-EUR,0.167,2,1,0,,,,,,,,,,,TRUE
BABY-EUR,OKX,BABY/USDT,1,USDT-EUR,0.333,4,1,0,,,,,,,,,,,TRUE
BABY-EUR,Binance,BABY/USDT,1,USDT-EUR,0.333,4,1,0,,,,,,,,,,,TRUE
BABY-USD,Bitget,BABY/USDT,1,USDT-USD,0.182,2,1,0,,,,,,,,,,,TRUE
BABY-USD,Bybit,BABY1/USDT,1,USDT-USD,0.273,3,1,0,,,,,,,,,,,TRUE
BABY-USD,Gate,BABY/USDT,1,USDT-USD,0.182,2,1,0,,,,,,,,,,,TRUE
BABY-USD,OKX,BABY/USDT,1,USDT-USD,0.364,4,1,0,,,,,,,,,,,TRUE
BABY-USDC,Binance,BABY/USDT,2,USDC-USDT,0.333,4,1,0,,,,,,,,,,,TRUE
BABY-USDC,Bitget,BABY/USDT,2,USDC-USDT,0.167,2,1,0,,,,,,,,,,,TRUE
BABY-USDC,Gate,BABY/USDT,2,USDC-USDT,0.167,2,1,0,,,,,,,,,,,TRUE
BABY-USDC,OKX,BABY/USDT,2,USDC-USDT,0.333,4,1,0,,,,,,,,,,,TRUE
BABYDOGE-EUR,OKX,BABYDOGE/USDT,1,USDT-EUR,0.364,4,1,0,,,,,,,,,,,TRUE
BABYDOGE-EUR,Bybit,BABYDOGE/USDT,1,USDT-EUR,0.273,3,1,0,,,,,,,,,,,TRUE
BABYDOGE-EUR,Gate,BABYDOGE/USDT,1,USDT-EUR,0.182,2,1,0,,,,,,,,,,,TRUE
BABYDOGE-EUR,Kucoin,BABYDOGE/USDT,1,USDT-EUR,0.182,2,1,0,,,,,,,,,,,TRUE
BABYDOGE-USD,OKX,BABYDOGE/USDT,1,USDT-USD,0.364,4,1,0,,,,,,,,,,,TRUE
BABYDOGE-USD,Bybit,BABYDOGE/USDT,1,USDT-USD,0.273,3,1,0,,,,,,,,,,,TRUE
BABYDOGE-USD,Gate,BABYDOGE/USDT,1,USDT-USD,0.182,2,1,0,,,,,,,,,,,TRUE
BABYDOGE-USD,Kucoin,BABYDOGE/USDT,1,USDT-USD,0.182,2,1,0,,,,,,,,,,,TRUE
BABYDOGE-USDC,OKX,BABYDOGE/USDT,2,USDC-USDT,0.364,4,1,0,,,,,,,,,,,TRUE
BABYDOGE-USDC,Bybit,BABYDOGE/USDT,2,USDC-USDT,0.273,3,1,0,,,,,,,,,,,TRUE
BABYDOGE-USDC,Gate,BABYDOGE/USDT,2,USDC-USDT,0.182,2,1,0,,,,,,,,,,,TRUE
BABYDOGE-USDC,Kucoin,BABYDOGE/USDT,2,USDC-USDT,0.182,2,1,0,,,,,,,,,,,TRUE
BABYDOGE-USDT,Bybit,BABYDOGE/USDT,0,,0.273,3,1,0,,,,,,,,,,,TRUE
BABYDOGE-USDT,Gate,BABYDOGE/USDT,0,,0.182,2,1,0,,,,,,,,,,,TRUE
BABYDOGE-USDT,Kucoin,BABYDOGE/USDT,0,,0.182,2,1,0,,,,,,,,,,,TRUE
BABYDOGE-USDT,OKX,BABYDOGE/USDT,0,,0.364,4,1,0,,,,,,,,,,,TRUE
BANANA-USD,Kucoin,BANANA/USDT,1,USDT-USD,0.167,2,1,0,,,,,,,,,,,TRUE
BANANA-USD,OKX,BANANA/USDT,1,USDT-USD,0.333,4,1,0,,,,,,,,,,,TRUE
