index,assetsType,component_count,ema_avg_deviation,ema_max_deviation,issues
ASTR-USDC,Altcoins,3,0.2491,0.3132,AL-5: ema_avg_update_lag 1635s > 300s
ASTR-USDT,Altcoins,3,0.2694,0.3295,AL-5: ema_avg_update_lag 1340s > 300s
AT-USDT,Altcoins,4,0.1735,0.2559,AL-1: Binance available but not in components; AL-5: ema_avg_update_lag 1670s > 300s
ATH-EUR,Altcoins,4,0.4529,0.5466,AL-5: ema_avg_update_lag 1742s > 300s
ATH-TRY,Altcoins,4,0.3939,0.4626,AL-5: ema_avg_update_lag 1615s > 300s
ATH-USD,Altcoins,4,0.3975,0.4881,AL-5: ema_avg_update_lag 867s > 300s
ATH-USDC,Altcoins,4,0.4295,0.5122,AL-5: ema_avg_update_lag 1111s > 300s
ATH-USDT,Altcoins,4,0.4169,0.4937,AL-5: ema_avg_update_lag 1646s > 300s
ATOM-EUR,Altcoins,5,0.1301,0.2239,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1897s > 300s
ATOM-USD,Altcoins,5,0.1544,0.2366,AL-5: ema_avg_update_lag 1379s > 300s
ATOM-USDC,Altcoins,4,0.1567,0.1999,AL-5: ema_avg_update_lag 1712s > 300s
ATOM-USDT,Altcoins,4,0.1874,0.2368,AL-5: ema_avg_update_lag 1664s > 300s
AUCTION-EUR,Altcoins,1,0.0987,0.0987,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-4: only 1 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 1671s > 300s
AUCTION-USD,Altcoins,4,0.1286,0.2116,AL-5: ema_avg_update_lag 1372s > 300s
AUCTION-USDC,Altcoins,4,0.1630,0.2274,AL-5: ema_avg_update_lag 1924s > 300s
AUCTION-USDT,Altcoins,4,0.1549,0.2449,AL-5: ema_avg_update_lag 1878s > 300s
AVAX-EUR,Altcoins,6,0.1980,0.4434,AL-5: ema_avg_update_lag 2058s > 300s
AVAX-TRY,Altcoins,3,0.1747,0.2309,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1864s > 300s
AVAX-USD,Altcoins,5,0.1463,0.2159,AL-5: ema_avg_update_lag 1379s > 300s
AVAX-USDC,Altcoins,4,0.1458,0.1944,AL-5: ema_avg_update_lag 1461s > 300s
AVAX-USDT,Altcoins,4,0.2563,0.3108,AL-5: ema_avg_update_lag 1656s > 300s
AVNT-EUR,Altcoins,5,0.3267,0.4150,AL-5: ema_avg_update_lag 1667s > 300s
AVNT-USD,Altcoins,5,0.3610,0.4518,AL-5: ema_avg_update_lag 1088s > 300s
AVNT-USDC,Altcoins,5,0.3310,0.4192,AL-5: ema_avg_update_lag 1655s > 300s
AVNT-USDT,Altcoins,5,0.3304,0.3961,AL-5: ema_avg_update_lag 1778s > 300s
AXS-EUR,Altcoins,2,0.3574,0.4008,AL-1: Binance available but not in components; AL-1: Bybit available but not in components; AL-4: only 2 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 2217s > 300s
AXS-TRY,Altcoins,4,0.2167,0.3051,AL-5: ema_avg_update_lag 1698s > 300s
AXS-USD,Altcoins,5,0.2500,0.3504,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1621s > 300s
AXS-USDC,Altcoins,4,0.2132,0.2724,AL-5: ema_avg_update_lag 1341s > 300s
AXS-USDT,Altcoins,4,0.2550,0.3392,AL-5: ema_avg_update_lag 1560s > 300s
AZTEC-USDT,Altcoins,3,0.2308,0.3085,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1844s > 300s
BABY-EUR,Altcoins,4,0.3497,0.4219,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1630s > 300s
BABY-USD,Altcoins,4,0.2191,0.3057,AL-1: Binance available but not in components; AL-5: ema_avg_update_lag 1156s > 300s
BABY-USDC,Altcoins,4,0.3421,0.4157,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1687s > 300s
BABY-USDT,Altcoins,5,0.3914,0.5037,AL-5: ema_avg_update_lag 1659s > 300s
BABYDOGE-EUR,Altcoins,4,0.2868,0.4825,AL-1: Binance available but not in components; AL-5: ema_avg_update_lag 1821s > 300s
BABYDOGE-USD,Altcoins,4,0.2287,0.3892,AL-1: Binance available but not in components; AL-5: ema_avg_update_lag 1361s > 300s
BABYDOGE-USDC,Altcoins,4,0.2817,0.4764,AL-1: Binance available but not in components; AL-5: ema_avg_update_lag 1784s > 300s
BABYDOGE-USDT,Altcoins,4,0.2424,0.4160,AL-1: Binance available but not in components; AL-5: ema_avg_update_lag 1519s > 300s
BANANA-USD,Altcoins,4,0.2186,0.3079,AL-5: ema_avg_update_lag 2007s > 300s
BANANA-USDT,Altcoins,4,0.2492,0.3337,AL-5: ema_avg_update_lag 1872s > 300s
BAND-EUR,Altcoins,4,0.1902,0.3260,AL-5: ema_avg_update_lag 1777s > 300s
BAND-USD,Altcoins,4,0.2005,0.3619,AL-5: ema_avg_update_lag 1613s > 300s
BAND-USDC,Altcoins,4,0.2264,0.4068,AL-5: ema_avg_update_lag 1540s > 300s
BAND-USDT,Altcoins,4,0.1997,0.3606,AL-5: ema_avg_update_lag 2187s > 300s
BARD-EUR,Altcoins,4,0.2755,0.3611,AL-5: ema_avg_update_lag 1580s > 300s
BARD-TRY,Altcoins,4,0.2374,0.3439,AL-5: ema_avg_update_lag 1197s > 300s
BARD-USD,Altcoins,4,0.2354,0.3418,AL-5: ema_avg_update_lag 1632s > 300s
BARD-USDC,Altcoins,4,0.2909,0.3865,AL-5: ema_avg_update_lag 1143s > 300s
BARD-USDT,Altcoins,4,0.2829,0.3709,AL-5: ema_avg_update_lag 1630s > 300s
BAT-EUR,Altcoins,5,0.3127,0.4643,AL-5: ema_avg_update_lag 1783s > 300s
BAT-USD,Altcoins,4,0.2852,0.4135,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1072s > 300s
BAT-USDC,Altcoins,5,0.3012,0.4322,AL-5: ema_avg_update_lag 1401s > 300s
BAT-USDT,Altcoins,5,0.3515,0.5033,AL-5: ema_avg_update_lag 1710s > 300s
